game,category
VALORANT,"['Shooter', 'FPS']"
Fortnite,['Shooter']
Just Chatting,['IRL']
Music & Performing Arts,"['IRL', 'Creative']"
Call of Duty: Modern Warfare,"['FPS', 'Shooter']"
Final Fantasy VII Remake,"['Action', 'RPG']"
League of Legends,['MOBA']
Animal Crossing: New Horizons,['Simulation']
Minecraft,"['Adventure Game', 'Action']"
Apex Legends,"['FPS', 'Shooter']"
Overwatch,"['FPS', 'Shooter', 'MOBA']"
Tom Clancy's Rainbow Six: Siege,"['FPS', 'Shooter']"
Counter-Strike: Global Offensive,"['FPS', 'Shooter']"
World of Warcraft,"['MMORPG', 'RPG']"
Escape From Tarkov,"['Simulation', 'FPS']"
Art,['Creative']
Grand Theft Auto V,['Driving/Racing Game']
Resident Evil 3,"['Action', 'Adventure Game']"
ROBLOX,"['MMORPG', 'RPG']"
Dead by Daylight,"['Action', 'Horror']"
Rocket League,['Driving/Racing Game']
NBA 2K20,"['Sports Game', 'Simulation']"
Talk Shows & Podcasts,['IRL']
Madden NFL 20,['Sports Game']
Mount & Blade II: Bannerlord,"['Action', 'Adventure Game']"
MLB The Show 20,['Sports Game']
Super Smash Bros. Ultimate,"['Fighting', 'Platformer']"
VRChat,"['Simulation', 'RPG']"
The Sims 4,['Simulation']
Teamfight Tactics,"['Strategy', 'Autobattler']"
Risk of Rain 2,"['Action', 'Indie Game']"
Marbles On Stream,['NONE']
Sports & Fitness,['IRL']
Hearthstone,['Card & Board Game']
Destiny 2,"['FPS', 'Shooter', 'RPG']"
Old School RuneScape,['MMORPG']
Doom Eternal,"['FPS', 'Shooter', 'Horror']"
The Jackbox Party Pack 3,['Card & Board Game']
The Jackbox Party Pack 6,['Card & Board Game']
Science & Technology,"['IRL', 'Creative']"
Poker,['Card & Board Game']
Dota 2,['MOBA']
Dungeons & Dragons,['NONE']
PLAYERUNKNOWN'S BATTLEGROUNDS,"['Shooter', 'FPS']"
Persona 5: The Royal,['RPG']
Pokémon Sword/Shield,['RPG']
Last Oasis,"['MMORPG', 'RPG']"
Super Mario Maker 2,['Platformer']
Magic: The Gathering,['Card & Board Game']
Dark Souls,"['RPG', 'Action', 'Horror']"
ASMR,['IRL']
Rust,"['Action', 'Adventure Game']"
Games + Demos,"['Compilation', 'Puzzle']"
Chess,['Card & Board Game']
osu!,['Rhythm & Music Game']
Path of Exile,"['Action', 'RPG']"
Subnautica,['Adventure Game']
Dark Souls III,"['RPG', 'Action']"
Pummel Party,['Action']
Sea of Thieves,"['Action', 'Adventure Game']"
Krunker,"['FPS', 'Shooter', 'Action']"
FINAL FANTASY XIV Online,['MMORPG']
Mario Kart 8,['Driving/Racing Game']
NCAA Football 14,['Sports Game']
Super Mario 64,['NONE']
Beat Saber,['Rhythm & Music Game']
Slots,['Gambling Game']
ARK,"['Action', 'Adventure Game']"
FIFA 20,['Sports Game']
Deadside,"['Action', 'RPG']"
Retro,"['Action', 'Shooter']"
iRacing.com,['Driving/Racing Game']
Monster Hunter World,"['Action', 'RPG']"
Fallout 76,"['RPG', 'Shooter']"
Food & Drink,"['Creative', 'IRL']"
StarCraft II,"['RTS', 'Strategy']"
RimWorld,"['Strategy', 'Simulation']"
The Legend of Zelda: Breath of the Wild,"['Action', 'Adventure Game']"
Minecraft Dungeons,"['RPG', 'Action']"
Warcraft III,"['Strategy', 'RTS']"
Final Fantasy VII,['RPG']
Borderlands 3,"['RPG', 'FPS', 'Shooter']"
The Elder Scrolls Online,"['MMORPG', 'Stealth']"
Halo: The Master Chief Collection,"['Compilation', 'FPS']"
Smite,['MOBA']
Red Dead Redemption 2,"['Action', 'Open World']"
Call of Duty: Black Ops III,"['FPS', 'Shooter']"
Warframe,"['Shooter', 'Action']"
Golf It!,['Sports Game']
The Elder Scrolls V: Skyrim,"['RPG', 'Open World']"
Stardew Valley,"['Action', 'RPG']"
Call of Duty: Black Ops 4,"['FPS', 'Shooter']"
Team Fortress 2,"['Shooter', 'Action', 'FPS']"
1v1.lol,"['Simulation', 'Shooter']"
Griftlands,"['RPG', 'Indie Game']"
Resident Evil 2,"['Shooter', 'Action']"
World of Warships,"['Action', 'Simulation']"
GTFO,"['Action', 'Horror']"
God of War,"['Action', 'Adventure Game']"
Slay the Spire,['Strategy']
Garena Free Fire,"['Shooter', 'Strategy']"
Bloodborne,"['RPG', 'Action']"
